"day","mint","maxt","sw_rad_MJm2day","co2","doy","vpd","precip"
15.21875,-6.5556318,-1.1809485,6.4880528,370.59,15.21875,0.18840165,1.97694837962963e-05
45.65625,-5.1197231,-0.52826424,10.239471,371.51,45.65625,0.24100239,2.81108113425926e-05
76.09375,-2.8207311,2.2101561,13.082074,372.43,76.09375,0.28101863,6.83017986111111e-05
106.53125,4.084003,12.258035,19.957081,373.37,106.53125,0.80019095,1.53235590277778e-05
136.96875,10.448041,18.901264,21.200915,373.85,136.96875,1.1479822,2.65535162037037e-05
167.40625,16.14381,24.481763,22.823194,373.21,167.40625,1.4059499,4.07606689814815e-05
197.84375,16.418602,24.237943,22.729689,371.51,197.84375,1.4151938,2.33428055555556e-05
228.28125,18.983031,26.698045,19.687755,369.61,228.28125,1.4884387,4.02728020833333e-05
258.71875,13.567378,21.391329,16.318655,368.18,258.71875,1.0676384,2.68622627314815e-05
289.15625,7.9176397,15.839991,12.164049,368.45,289.15625,0.90107784,1.10184445601852e-05
319.59375,4.3350006,10.081034,7.3123356,369.76,319.59375,0.50607985,1.24232233796296e-05
350.03125,-0.068644471,4.3804308,5.4766473,371.24,350.03125,0.30207942,2.69172939814815e-05
380.46875,-2.7914294,2.1198254,5.9466968,372.53,15.21875,0.25404544,2.19122673611111e-05
410.90625,-3.7956983,2.2048146,10.285637,373.2,45.65625,0.28752648,3.12421030092593e-05
441.34375,-0.47209031,5.0539674,13.183037,374.12,76.09375,0.37309192,3.97356168981481e-05
471.78125,6.1861738,12.74772,17.980245,375.02,106.53125,0.70020242,4.57659675925926e-05
502.21875,9.1130307,16.14975,20.983824,375.76,136.96875,0.89151837,5.32435659722222e-05
532.65625,14.989949,22.128355,21.332657,375.52,167.40625,1.1026552,6.50798391203704e-05
563.09375,18.684857,26.611589,23.854862,374.01,197.84375,1.5890719,2.64049768518519e-05
593.53125,18.791906,26.454519,20.563482,371.85,228.28125,1.6122815,3.23977847222222e-05
623.96875,15.271381,22.394914,15.712102,370.75,258.71875,1.131961,3.39796886574074e-05
654.40625,6.3228555,12.296915,10.095373,370.55,289.15625,0.55869897,3.52365115740741e-05
684.84375,1.4261784,5.9198644,6.1927308,372.25,319.59375,0.31350725,5.93553055555556e-05
715.28125,-4.3719112,0.35707596,5.7160925,373.79,350.03125,0.23214137,4.14487453703704e-05
745.71875,-10.205666,-5.1959678,7.5226609,374.88,15.21875,0.15546597,2.41003055555556e-05
776.15625,-8.4721362,-3.4555584,9.8456769,375.64,45.65625,0.17244022,3.75222199074074e-05
806.59375,-2.4301997,4.1415365,14.115067,376.45,76.09375,0.32578874,3.92388252314815e-05
837.03125,3.2628631,9.4150814,17.21056,377.73,106.53125,0.56449721,3.62525289351852e-05
867.46875,9.6890391,16.382359,17.831394,378.6,136.96875,0.81137068,4.03266435185185e-05
897.90625,15.311742,22.212635,20.830771,378.28,167.40625,1.1360142,3.02458946759259e-05
928.34375,18.750233,25.705721,21.080057,376.7,197.84375,1.4208737,3.53602164351852e-05
958.78125,19.430275,25.529279,16.3416,374.38,228.28125,1.181715,7.36326747685185e-05
989.21875,14.494461,21.145182,13.807573,373.17,258.71875,0.89891455,3.98511238425926e-05
1019.6562,6.3641106,13.198114,10.24113,373.14,289.15625,0.6028413,5.43297476851852e-05
1050.0938,3.1000408,8.0093227,6.817459,374.66,319.59375,0.36811054,3.61462743055556e-05
1080.5312,-3.2305454,1.4229976,5.1617225,375.99,350.03125,0.23310254,5.31076134259259e-05
1110.9688,-11.2236,-6.8561592,7.0033678,377,15.21875,0.16665919,1.592371875e-05
1141.4062,-6.1864123,0.49071797,11.753318,377.87,45.65625,0.3440865,1.73512939814815e-05
1171.8438,-0.31341579,5.0859188,13.501122,378.88,76.09375,0.34159872,2.69701701388889e-05
1202.2812,5.3113003,12.01328,17.611492,380.35,106.53125,0.73307203,5.4497806712963e-05
1232.7188,11.888688,18.871834,20.566184,380.62,136.96875,0.92879357,4.61034189814815e-05
1263.1562,14.082201,21.975389,23.885116,379.69,167.40625,1.2270028,2.63553506944444e-05
1293.5938,18.019182,23.954479,19.244595,377.47,197.84375,1.0961466,3.84104421296296e-05
1324.0312,17.867141,24.201179,17.084798,376.01,228.28125,1.1104944,4.78275358796296e-05
1354.4688,14.126343,21.03749,15.305724,374.25,258.71875,0.92308074,4.39404108796296e-05
1384.9062,6.8817632,13.757264,11.287715,374.46,289.15625,0.61990297,2.37687094907407e-05
1415.3438,1.8784549,7.9407531,7.3487981,376.16,319.59375,0.44158926,3.76513530092593e-05
1445.7812,-3.9029846,0.70041758,5.2260599,377.51,350.03125,0.24262789,3.70927013888889e-05
1476.2188,-8.394402,-4.4110609,6.372278,378.46,15.21875,0.13575773,3.7646212962963e-05
1506.6562,-6.4713943,0.60169864,10.97319,379.73,45.65625,0.27513993,2.71298622685185e-05
1537.0938,-3.6222781,2.4475076,15.041733,380.77,76.09375,0.32272849,4.17493738425926e-05
1567.5312,5.7690294,13.286281,19.128695,382.29,106.53125,0.83842793,5.48475613425926e-05
1597.9688,8.48346,14.254715,18.1455,382.45,136.96875,0.69254749,3.31718819444444e-05
1628.4062,17.272765,24.86365,21.96241,382.21,167.40625,1.2376562,4.73771481481482e-05
1658.8438,18.90989,25.991616,21.430769,380.74,197.84375,1.3305757,4.37864143518519e-05
1689.2812,18.905312,26.199321,18.083365,378.74,228.28125,1.3690733,3.74153634259259e-05
1719.7188,15.519126,23.010221,16.414124,376.7,258.71875,1.2051685,2.41639259259259e-05
1750.1562,8.6268243,13.927471,8.288516,377,289.15625,0.53698419,0.0001381409375
1780.5938,2.9006654,8.6926696,7.0681745,378.35,319.59375,0.47213075,3.84555173611111e-05
1811.0312,-4.3910136,-0.13488958,5.6586677,380.11,350.03125,0.23208607,3.93927291666667e-05
1841.4688,-2.1020681,2.2712075,5.6503428,381.38,15.21875,0.24713489,4.88383726851852e-05
1871.9062,-5.1757695,0.051540614,10.680473,382.19,45.65625,0.29399135,2.35640277777778e-05
1902.3438,-1.5454896,5.2910716,15.730131,382.67,76.09375,0.49230795,1.24692974537037e-05
1932.7812,5.7889759,13.218212,18.995038,384.61,106.53125,0.87062818,3.26772037037037e-05
1963.2188,10.485976,16.704676,16.904935,385.03,136.96875,0.79977313,6.97255949074074e-05
1993.6562,16.317695,21.765375,16.87807,384.05,167.40625,0.89431394,7.5720505787037e-05
2024.0938,19.975146,27.187275,21.792257,382.46,197.84375,1.5599824,4.24147314814815e-05
2054.5312,17.425909,24.065488,18.486008,380.41,228.28125,1.2609376,4.18180231481482e-05
2084.9688,13.22143,19.891625,14.018892,378.85,258.71875,0.93197693,2.21522511574074e-05
2115.4062,6.7624387,13.7503,10.466033,379.13,289.15625,0.67635391,6.49824965277778e-05
2145.8438,4.8227556,10.121389,6.1198023,380.15,319.59375,0.43345406,3.83234884259259e-05
2176.2812,0.7007095,4.996775,5.3255554,381.82,350.03125,0.33601256,2.42554189814815e-05
